ID Number,Organisation,User Journey1,User Journey2,User Journey3,User Journey4,User Journey5,Organisation Type,Food Cost,Food type,Pathway/means of entry,Elegibility,Location,Time,Email/Website,Telephone number
45,Upper Holloway Baptist Church,x,,,,,Church/Christian organistaion,Free,Cooked meal,,,"11 Tollington Way, Holloway, London N7 6RG",Monday 10am-1pm,,0208 340 3642
46,South London Vineyard,x,,,,,Church/Christian organistaion,Free,Non perishable/food parcel,"voucher, referral",,"SW London Vineyard 98 Graham Road Wimbledon, SW19 3SS","Wednesday 10am-12pm, Sunday 2-4pm",,020 8785 9530
47,St Cuthbert Centre,x,Over 16,,,,Day centre/drop in,Low cost,Mixed cooked and cold food,,No under 18s,"Philbeach Gardens, SW5 9EB",Daily 12.30-2.15pm,,0207 835 1389
48,Southwark Day Centre,,"Refugees, asylum seekers, migrants",,,,Day centre/drop in,Free,Cooked meal and food parcel,,"Refugees, asylum seekers, migrants","Copleston Centre, Copleston Rd, London, SE15 4AN",N/A,,0207 732 0505
49,Simon Community,x,,,,,Food distribution,Free,Mixed cooked and cold food,,,"Hind street, Westminister ",Wednesday and Thursday 8.15 pm,,2075853602
49,Simon Community,x,,,,,Food distribution,Free,Mixed cooked and cold food,,,Street café @ st giles Denmark Street,Saturday 2-4pm and Sunday1.15-3.15 pm,,
49,Simon Community,x,,,,,Food distribution,Free,Mixed cooked and cold food,,,Marble Arch,Monday and Sunday 8.30am,,
49,Simon Community,x,,,,,Food distribution,Free,Mixed cooked and cold food,,,Waterloo,Wednesday and Thursday  9.45pm,,
49,Simon Community,x,,,,,Food distribution,Free,Mixed cooked and cold food,,,The Strand,Monday 7.15am,,
50,SHP Homeless,x,,,,,Hostel/shelter,Free,Cooked meal,Referral,,245 Gray’s Inn Road London WC1X 8QY,N/A,www.shp.org.uk,020 7520 8660
51,Sadu Vaswawi Centre,,Homeless,,,,Other,Free,Mixed cooked and cold food,,Homeless,Lincoln's Inn Fields WC2A 3JW,Wednesday 8pm,,0208 455 7775
52,Pepper Pot Centre,,Ethnic identity,,,,Day centre/drop in,Low cost,Mixed cooked and cold food,,,"1A Thorpe Close, W10 5XL",12.30-1.30pm,,7970643290
53,Teen Challenge,,Homeless,,,,Children and young peoples organistion,Free,Cooked meal,,Homeless,Whitechapel station,Monday 9-10pm,,
53,Teen Challenge,,Homeless,,,,Children and young peoples organistion,Free,Cooked meal,,Homeless,Hackney Central station,Tuesday 9-10pm,,
53,Teen Challenge,,Homeless,,,,Children and young peoples organistion,Free,Cooked meal,,Homeless,Brixton station,Wednesday 9-10pm,,
53,Teen Challenge,,Homeless,,,,Children and young peoples organistion,Free,Cooked meal,,Homeless,Waterloo station,Thursday 9-10pm,,
53,Teen Challenge,,Homeless,,,,Children and young peoples organistion,Free,Cooked meal,,Homeless,Stratford station,Saturday 9-10pm,,
54,Providence,,Live in area,,,,Day centre/drop in,Low cost,Cooked meal,,"Based on assesment, live in area","Dellow Centre, 82 Wentworth St, London E1 7SA",Daily 8am-12pm,,
55,New Horizon Food,,Over 60,,,,Day centre/drop in,Free,Cooked meal,Referral,"Over 50, fit in with members of club","New Guinness Trust Estate, Cadogan Street, SW3 2PF",N/A,,0207 590 8972
56,Manor Centre,x,Over 16,,,,Day centre/drop in,Free,Cooked meal,,no under 18s,6 Melior Street London Bridge London SE1 3QP,unspecified,,0207 403 1931
57,London Jesus Centre,x,Over 16,,,,Day centre/drop in,Free,Soup/Sandwiches,"assessed, but will feed anyone",No under 16s ,"83 Margret Street, W1W 8TB",Monday-Friday 10am-12.30pm,,0207 637 0600
58,Muswell Hill Baptist Church,x,Over 16,,,,Church/Christian organistaion,Free,Cooked meal,,"No under 18s, well behaved","Muswell Hill Baptist Church, N10 2PT",Sunday-Thursday 7.45pm,,02 08 444 7027
59,New Barnet Community,,Over 60,,,,Day centre/drop in,Low cost,Cooked meal,call first,over 60,"New Barnet Center, 50 Victoraia Road, New Barnet EN4 9PF",1pm,,020 8441 7044
60,Welcome Project,,Homeless,,,,Day centre/drop in,Free,Cooked meal,,Homeless,"2 ST Marys Road, Ilford, IG1 1QP",12,, 020 8514 3283 
61,Notre Dame Church,,"Refugees, asylum seekers, migrants",,,,Church/Christian organistaion,Free,Mixed cooked and cold food,,"Refugee, asylum seekers, migrants","5 Leicester Place, London, WC2H 7BX",,,0207440 2660
62,Chelsea Methodist Church,x,,,,,Church/Christian organistaion,Free,Cooked meal,,,"155 Kings Road, SW3 5TX",Daily 1.30pm,,0207 351 4948
63,TAB Center & St Leonards Church,x,,,,,Church/Christian organistaion,Free,Mixed cooked and cold food,,,"St Leonards Church, E1 6JN",Tuesday 2-4pm and Wednesday 10am-12.30pm ,www.tabcentre.com,0207 613 3232
63,TAB Centre,x,,,,,Church/Christian organistaion,Free,Mixed cooked and cold food,,,TAB center 18-20 Hackney Rd E2 7NS,Thursday 8-10pm Friday 9am-12pm,www.tabcentre.com,
64,Spires,,Homeless,,,,Church/Christian organistaion,Free,Soup/Sandwiches,drop in,Homeless,"8, Tooting Bec Gardens, SW16 1RB",,,0208 696 0943
65,St Pancras Community Centre,,Over 60,,,,Day centre/drop in,Low cost,Cooked meal,must register,Over 50,"30 Camden Street, London NW1 0LG",Daily 10am-2pm,,0207 380 1501
66,FoodCycle,x,,,,,Surplus food organistion,Free,Cooked meal,,,"St. Pancras Community center, 30 Camden Street, London, NW1 0LG",Sunday 1pm,,020 7380 1501
67,FoodCycle,x,,,,,Surplus food organistion,Free,Cooked meal,,,"11 Southwood Smith Street, LONDON N1 0YL",Wednesday 1pm,,
68,FoodCycle,x,,,,,Surplus food organistion,Free,Cooked meal,,,"Caversham Road,Kentish Town, NW5 2DS beside Barclays Bank",Monday-Saturday 12pm,,
69,FoodCycle,x,,,,,Surplus food organistion,Free,Cooked meal,,,"Inverness Street, Camden, NW1 7HJ",Monday-Saturday 1pm,,
70,FoodCycle,x,,,,,Surplus food organistion,Free,Cooked meal,,,"York Way, Kings Cross, N1 9AG",Monday-Saturday 2pm,,
71,St. Andrew's Church,,Homeless,,,,Church/Christian organistaion,Free,Cooked meal,,Homeless," 51 Philbeach Gardens, London, SW5 9EB",Saturday 10.30am-1.30pm,,
72,Beside,,Mental health,,,,Other,Free,Soup/Sandwiches,referral (can be self),Mental health issues,"60-61 Old Nichol Street, E2 7HP",Daily 1.30 pm,,2070336888
73,Food For All,x,,,,,Food distribution,Free,Cooked meal,,,"LSE campus, Houghton Street, London WC2A 2AE",Monday-Saturday 12.30-2pm,,
74,Food For All,x,,,,,Food distribution,Free,Cooked meal,,,"SOAS campus, Thornhaugh Street, Russell Square, London WC1H 0XG",Monday-Saturday 12.30-2pm,,
75,Food For All,x,,,,,Food distribution,Free,Cooked meal,,,Kentish Town,Monday-Saturday 12pm,,
76,Food For All,x,,,,,Food distribution,Free,Cooked meal,,,Camden Town,Monday-Saturday 1pm,,
77,Food For All,x,,,,,Food distribution,Free,Cooked meal,,,Kings Cross,Monday-Saturday 2.15pm,,
78,Cricklewood Homeless Concern,x,Homeless,Over 16,Right to work in UK,,Day centre/drop in,Free and low cost,Cooked meal,referral (can be self),"Homeless, elderly, no under 18s, must have permission to work in UK","60 Ashford Road, NW2 6TU",Daily 1pm,,
79,EMMAUS Greenwich,x,Over 16,In receipt of a benefit,,,Homeless organistion,Free,Cooked meal,referral from homeless charities esp. St Martins in the fields,"No under 18s, must be on housing benefits or job seekers allowance, must 'volunteer' for 40 hrs/ week - to the best of their ability",226 Elmley Street SE18 7NN,N/A,,0208 854 3426
80,,x,Over 16,In receipt of a benefit,,,Homeless organistion,Free,Cooked meal,referral from homeless charities esp. St Martins in the fields,"No under 18s, must be on housing benefits or job seekers allowance, must 'volunteer' for 40 hrs/ week - to the best of their ability","9 Knight's Hill, West Norwood, London SE27 0HS",N/A,,0208 761 4340
81,Triumphant Church International,,Live in area,Homeless,,,Church/Christian organistaion,Free,Cooked meal and food parcel,,"Homeless","136 West Green Road, London, N15 5AD","Wednesday 12pm, Sunday 8am",,
83,Zaccheus Project,,Over 60,,,,Restaurant/cafe,Low cost,Mixed cooked and cold food,,Over 55,"Approach Road, Bethnal Green, London E2 9JP (Corner of Approach Road and Bonner Road)",Daily 10am-1pm,,0208 980 3745
84,Our Lady Help of Christians,x,,,,,Church/Christian organistaion,Free,Soup/Sandwiches,,,"4 Lady Margaret Road, NW5 2XT","Monday, Wednesday, Friday 2-3pm, Sunday 3-4pm",,0207 485 4023
85,The London and Slough run ,x,,,,,Food distribution,Free,Soup/Sandwiches,,,Lincoln's Inn Fields outside ACCA,Monday 9pm,,
86,The London and Slough run,x,,,,,Food distribution,Free,Soup/Sandwiches,,,Victoria station area,Monday 9pm,http://thelondonandsloughrun.com/,
87,Ministry of Praise,x,,,,,Church/Christian organistaion,Free,Soup/Sandwiches,,,Lincoln's Inn Fields,Tuesday 7.30-9pm,,020 8808 7697
88,Croydon nightwatch,x,Homeless,Over 16,,,Food distribution,Free,Mixed cooked and cold food,,"Homeless","Queens gardens, Fell Road, Croydon, CR9 1SA",Monday-Sunday 9.30pm ,,020 8699 6718
89,Peoples kitchen at Passing Clouds,x,,,,,Social improvement organisation,Low cost,Cooked meal,,,"Passing clouds 1 Richmond Rd  London, Greater London E8 4AA",Sunday 6.30pm,,2072414889/07828691416 Dan (peoples kitchen) 
90,Saint Ignatius R.C. Church,x,,,,,Church/Christian organistaion,Free,Mixed cooked and cold food,,," 27 High Rd, London, Greater London N15 6ND (beside the church through the car park)","Monday and Friday Polish community 1-3pm, Tuesday-Thursday soup 2-3pm",,2088002121
91,St Gabrielâ€™s Community Centre,x,,,,,Church/Christian organistaion,Free,Soup/Sandwiches,,,"21 Hatchard Road, London, N19 4NG",Daily 9am,,2072728195
92,London City Aid,x,,,,,Food distribution,Free,Soup/Sandwiches,,,"Tothill Street (near the DWP offices, Caxton House), Victoria",2nd Wedesday of the month 8.30-11pm,,
93,Victoria Ministries,x,,,,,Food distribution,Free,Soup/Sandwiches,,,"Palmer St, (close to Brewers Green), Victoria",Sunday 7pm,,
94,Missionaries of charity,x,,,,,Food distribution,Free,Soup/Sandwiches,,,"Pius X Church Hall, St Charles Sq, Ladbroke Grove W10 6EB","Monday-Wednesday and Friday 4pm, Sunday 3pm",,
,,x,,,,,Food distribution,Free,Soup/Sandwiches,,,"112-116 St Georges Rd, Elephant SE1 6EU, Spitalfields","Monday-Wednesday and Friday 10.30am, Sunday 3pm,",,
95,ASLAN,x,,,,,Church/Christian organistaion,Free,Tea run,,,"Rear of Transport Museum, Tavistock Street , Covent Garden,  ",Saturday 5.30am,,
95,ASLAN,x,,,,,Church/Christian organistaion,Free,Tea run,,,"Milford Lane, Tea run, off the Strand,",Saturday 6.10am,,
95,ASLAN,x,,,,,Church/Christian organistaion,Free,Tea run,,,"Adam St, off the Strand, ",Saturday 6.40am,,
95,ASLAN,x,,,,,Church/Christian organistaion,Free,Tea run,,,"Waterloo, St John’s church",Saturday 7.30am,,
96,The Sacred Heart,x,,,,,Food distribution,Free,Soup/Sandwiches,,,"Seaforth Place, Back of City Hall, Victoria",Tuesday and Fridays 9pm,,
97,Penge run,x,,,,,Food distribution,Free,Soup/Sandwiches,,,"Tothill Street (near the DWP offices, Caxton House), Victoria and Lincoln's Inn Fields","2nd Saturday of the month 8pm, 2nd and 4th Saturdays of the month 10pm",,
98,Food for the Homeless group,x,,,,,Food distribution,Free,Soup/Sandwiches,,,The Strand / Embankment – behind the Adelphi Theatre,Monday 9pm,,
99,St Monica’s Church,x,,,,,Church/Christian organistaion,Free,Soup/Sandwiches,,,Temple station,Tuesday 8pm,,
100,Love to the Nations Ministries,x,,,,,Church/Christian organistaion,Free,Soup/Sandwiches,,,Charing Cross,"Wednesday 7pm, Every second Sunday of the month 4pm",,
101,Remar Association UK,x,,,,,Social improvement organisation,Free,Soup/Sandwiches,,,"William IV St, The Strand",Wednesday 7.30-8.30pm,,
102,Agape,x,,,,,Church/Christian organistaion,Free,Soup/Sandwiches,,,Embankment North side,Wednesday 8pm,,
103,Christ’s Chapel,x,,,,,Church/Christian organistaion,Free,Soup/Sandwiches,,,The Strand,Last Thursday of the month 7pm,,
104,Christian Community of London,x,,,,,Church/Christian organistaion,Free,Soup/Sandwiches,,,The Strand,Friday 7pm,,
105,FAST58,x,,,,,Homeless organistion,Free,Soup/Sandwiches,,,The Strand (near Rymans) and Waterloo near imax,Thursday 8.45-11pm and 8.50-11pm,,
106,St John Vianney,x,,,,,Church/Christian organistaion,Free,Soup/Sandwiches,,,Embankment/Temple Station ,Saturday 5.30-6pm ,,
107,Joy of Serving Others (Word of Faith).,x,,,,,Church/Christian organistaion,Free,Soup/Sandwiches,,,The Strand,Saturday 7.30pm,,
108,Children of Adam,x,,,,,Church/Christian organistaion,Free,Soup/Sandwiches,,,Lincoln's Inn Field's,Sunday 6pm,,
109,St Vincent de Paul,x,,,,,Church/Christian organistaion,Free,Soup/Sandwiches,,,Lincoln's Inn Field's,Friday 7.30pm,,
110,St Thomas of Canterbury,x,,,,,Church/Christian organistaion,Free,Soup/Sandwiches,,,Lincoln's Inn Field's,2nd and last Wednesday of the month 9pm,,
111,Brixton Seventh Day Adventist Church,x,,,,,Church/Christian organistaion,Free,Soup/Sandwiches,,,"Santley Street, Clapham, London SW4 7QG,  ",Thursday 7pm,,
111,Brixton Seventh Day Adventist Church,x,,,,,Church/Christian organistaion,Free,Mixed cooked and cold food,,,"428 – 434 Lewisham High St, London SE13 6LJ ",Thursday 7pm,,
112,Nightwatch,x,,,,,Homeless organistion,Free,Soup/Sandwiches,,,"Queens Gardens, Croyden",Monday-Sunday 9.30pm,,
113,Arches II (Kids Company),,Under 25,,,,Children and young peoples organistion,Free,Cooked meal and food parcel,,Under 23s only,"1 Kenbury Street, SE5 9BS","Daily 1-2pm and 3.30-4.30pm, food parcels every other Thursday",www.kidsco.org.uk/contact,2072748378
114,Urban Academy (Kids Compnay),x,Under 25,Over 16,,,Children and young peoples organistion,Free,Cooked meal and food parcel,,"Young people, over 16, needing alterative education and/or life skills with complex emotional or behavioural needs.","34 Decima Street, SE1 4QQ","Daily 9-9.30 and 1-2pm, ad hoc food parcels",www.kidsco.org.uk/contact,2074078419
115,Treehouse (Kids Company),,Under 25,Families,,,Children and young peoples organistion,Free,Mixed cooked and cold food,"Referral only through schools, local authority education departments, children’s services and social services","Under 16s only, children/young people  and their families who have suffered traumatic experiences and faced enormous challenges. ","85-87 Fordwych Road, Kilburn, London, NW2 3TL","DAILY 9am, 11am, 1pm, 3.30pm and 5.30pm",www.kidsco.org.uk/contact,2084389519
116,Healthy Start,,Women,Families,,,Government initiative,Free,"Milk, fruit and vegetable",voucher,"Pregnant, children under 4, family income less than £16,000 ",N/A,N/A,,
117,Al Manaar,,Homeless,,,,Mosque,Free,Cooked meal,,Homeless,"244 Acklam Road, London W10 5YG",Every other Friday 7pm,,020 8964 1496
118,Nando's,x,,,,,Restaurant/cafe,Free and low cost,Cooked meal,voucher,Discretion of manager,Various,Daily,,2082465363
119,Rugby- Portobello Trust,,Under 25,,,,Children and young peoples organistion,Free,Mixed cooked and cold food,,"Young people, age 5-25","221 Walmer Road, W11 4EY",Daily,http://www.rugbyportobello.org.uk/,0207 229 2928
120,Streatham united reformed church,x,,,,,Church/Christian organistaion,Free,Mixed cooked and cold food,,,"388 Streatham High Road, SW16 6HX",Monday 7-9pm,,
121,Community food enterprise limited,x,,,,,food enterprise,Low cost,Soup/Sandwiches,,all,Van,Tuesday and Wednesday,,2075119014
122,We Care Foodbank,,Fixed address,,,,food bank,Low cost,Soup/Sandwiches,,all below poverty line in Lewisham and Greenwich (not homeless),"467 Newcross Road, SE14 6TA",Monday-Saturday 11am-2pm,,2072315656
123,Filling the Gap Community Café,x,,,,,Restaurant/cafe,Low cost,Cooked meal,,all,"Samaritan Hall, Perront Road, N15 3AA",Thursday-Friday 11.30am-2pm,,7910271056
124,Clean Break,x,Over 16,Women,,,Theatre company,Free,Cooked meal,sign up to course,women only 18+,"Clean Break, 2 Patshull Road, London,NW5 2LB",N/A,,
125,Throne of grace and mercy,x,Ex service men,,,,Church/Christian organistaion,Free,Cooked meal,,"60+, single mothers & children, ex- servicemen, unemployed","Centre for sports development, Ruthland Walk, London SE6 4LG",Saturday 1.30-3pm,,7931711931
126,Big House,,Ex service men,,,,Hostel/shelter,Free,Mixed cooked and cold food,referral from ex- services,ex- servicemen,"56 Camberwell Road, SE5 0EN",N/A,,2077039613
127,MFC Dragon Café,x,Mental health,,,,Restaurant/cafe,Low cost,Cooked meal,,all,"St George the Martyre, SE1 1JA",Mon 11.30am-8.30pm,http://dragoncafe.co.uk/,
128,Bondway night shelter ,,Homeless,,,,Hostel/shelter,Free,Cooked meal,reffered vauxhall,Homeless,"62 Bondway Road, SW8 1SF",N/A,,
129,YMCA west london,,Homeless,,,,Hostel/shelter,Free,Mixed cooked and cold food,ealing council referral,Homeless,Various,N/A,,  0300 1111 500
130,YMCA orbital community centre,,Over 60,,,,community,Free,Non perishable/food parcel,"refferal by pcso, frontline workers","vulnerable members of community, especially elderly",home delivery,4x / year,,01923 894444
131,Blackfriars settlement,x,Over 60,,,,Social club,Low cost,Cooked meal,,"Thur 50+, Fri -Partially sighted, Sun all","90-94 Great Sulfolk street, SE1 0BE","Thursday and Friday 12pm, Sunday 1pm",,
132,Waterloo Foodbank,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities and Waterloo action centre",,"1 Kennington Road, London, SE1 7QP","Tuesday 11am-1pm,Friday 10am-12pm ",,020 7921 4205
133,Westminister Foodbank,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities and cardinal hulme centre 3 arneway street, se1v 2bd",,"Westminster Chapel Buckingham Gate, London, SW1E 6BS","Monday 2-4pm, Thursday 11am-1pm",,020 7834 1731
134,Vauxhall Foodbank,x,,,,,food bank,Free,Non perishable/food parcel,"Referral through frontline services only: GP, Jobcentre, Citizens Advice Beaureau, Social services, selected local authorities",,"Christchurch London, The Matrix Complex, 91 Peterborough Road, London SW6 3BU",Wednesday and Saturday 11.30am-1pm,,08456 448 440/07586258991/02073846486(Christchurch)
